 The car park was small and unpleasant People with Mercedes and BMWs took over 2 spaces We were lucky to get a space after driving around about 10 times  The location was excellent for getting to the O2
 We weren t told that the only spa facility open was the pool and the sauna but we had already paid and had to find out ourselves when entering the spa area  The house keeping lady made my boyfriends day with how funny she was
 I asked how far the O2 was and got told a 7 minute walk no no way it was 2 trains away being on my own I was not very happy other than that it was okNo Positive
 Hot stuffy room air con not working properly Filthy windows Wallpaper ripped and worn bedside furniture tatty carpets worn and damaged bathroom door latch worn making door difficult to open from the inside Shower from another era controlled by bath taps Poor shower curtain too resulting in wet floor Carpets in corridors worn out and tatty nasty musty aroma to these areas too All in all this place is around ten years overdue a complete renovation  The bed was OK 
 Although the price seems like it is cheap you have to pay extra for everything like the swimming pool and Wifi which can fool you and sometimes comes to the same as others if not more with extras like breakfast and all  The Receptionists and Cleaners are very polite friendly and hard working staff We enjoyed our stay and would come again Rooms were clean and had enough amenities or one could request anytime without a problem
 The hotel has seen better days including the stairwell carpets which were quite threadbare The common parts are in need of decoration The quality of the towels in the bathroom was not too good and there was only one set of toiletries for two people There was an item of drug paraphernalia in the hall  My daughter and I were upgraded free of charge to an executive room with a balcony over the water We enjoyed the quality and price in the Spice restaurant and I was delighted to find porridge for breakfast in the Jenny restaurant The electric fan was a welcome addition to the room 
 Construction going on all around the hotel so many paths closed Had to pay extra to use hotel pool and spa which was a health hazard in itself Stairs leading to changing rooms and pool were filthy pool tiles didn t look like they had ever been cleaned wood was rotted in the sauna floor had food and hair on it outside The shower outside sauna had a hot and a cold button had to press both at same time in order not to scald or freeze yourself Pasta in pizzaria was microwaved Staff were incredibly rude in all areas of the hotel at one point my aunt was asked to repeat if you understand now The wifi was incredibly slow and power points or lack there of were very dated like the decor in whole hotel The only part of this review I gave more than a sad face was the location I wouldn t even give the hotel a 2  Could control the room temperature with the AC quite easily short walk to the tube station although construction closed many paths 
 Room was far too hot and air conditioning didn t work Happened on my previous stay and a staff member had to open a window with a screwdriver Unfortunately the huge vents outside were really noisy with the window open Hardly slept all night  Staff were friendly location good 
 The guy that served us was not very professional as he was telling us about other customers situation and we just wanted to get to our room The car park was so small and there was no parking at all My car was stuck between two cars all they told us he was a first come first serve Was not very happy at all  The bed was nice you could smoke in the room bouns I loved the layout of the hotel 
 The building site next door Dirty windows spoiling lovely view See photos  Room overlooking Thames good bed and room Breakfast was substantial and well prepared Location was perfect for my needs 
 Access was a little tricky due to local construction works in the area but these did not adversely impact on my journey time or cause any noise issues inside the hotel  Excellent value for money Friendly staff lots of amenities a broad range of dining options a Spa downstairs all just a stone s throw from Canary Wharf Have already recommended this to family friends for last minute work stopovers short breaks in case they need to stay in this part of London 
No Negative the location is good which is near to the train station the bedroom was big we were booking room without window but the hotel gave us a big room with window without charge 
 The staff were not at all welcoming I would go so far as to say jaded if not unhappy at obe point seen arguing with a customer in front of customers The double bed I selected wasn t a double bed at all but two single beds zipped together and very poorly and uncomfortably at that So cheap Such a bad sleep There were mice scurrying around all over the property in full view of customers from the main lobby to near the dining and bar areas to inside my room where I saw mice on two occasions during my stay The room itself had too much wear and tear with walls visibly stained marked and damaged and the toilets showing mould in the shower Totally careless I asked for a non smoking room but the room I got reeked of smoke everywhere from the curtains to the toilet So bad I want a full refund  Just the convenience 
 The lifts were badly adjusted with dangerous gaps between the leading edges og the car doors  Great location and spacious room but the whole place looks a bit tired 
 Parking was horrible The parking garage is very narrow and we drove in and out again when noticng it was full Near the entrance of the garage there were 3 members of staff walking around who did not inform anyone At least 4 other cars behind us drove in and back out again Then I walked up to ask where else we could park in the area and were told to just check out all the side streets and park there Then we drove around to find out that all parking there is for residents only After 30 minutes or so when then parked at the westferry circus garage which is a 10 minute walk away Since the garage did not mention maximum duration of parking we On the hotel itself the furnishings are a little outdated The carpets on the stairs for instance are quite worn Wifi did not work There was a card in the room with details but the network could not be found on either of the phones we had with The room itself was nice and clean Beware of the shower Water pressure is very good but the screen in front of the bath is fairly small so if you do not twist the shower head to the wall for an inch or so the whole bathroom will get wet The head is fixed to the wall and people over approx 1 85 m will not be able to stand under without squatting a little If I would have paid full price for this hotel frankly I would have been very disappointed Comparing to some 3 and 4 star hotels in London I have visited this hotel is more a 3 than a 4 star based on room comfort staff and parking  The room was perfectly fine Nothing specifically that stood out We had the luck of finding a very good deal via booking com Location is very convenient It is a 10 minute walk to Canary wharf station where you can take either underground or DLS Better even is the water bus which does not get so crowded and the air not so stifling If you are not in a rush and enjoy seeing the sights from the Thames this is one of the best ways to travel into the city 
 Every part of this stay was horrendous From start to finish When we arrived the sockets did not work so could not charge our phones before heading out for dinner The room was dirty I Woke up in the morning to the bathroom flooded water had come all the way out to the room wetting bags shoes toiletry bags etc Could not get reception on phone for ages Nobody came to clean the mess could not get hold of a GM breakfast was awful Dry toast was all we could stomach eating as place was so dirty Needless to say we are in process of looking for a full refund from the hotel  Nothing
 NOTHING We liked everything about this hotel and was so so pleased you still have smoking rooms so good as my partner didn t have to leave me to go outside for a smoke and in the morning we were able to enjoy leisurely having our first coffee relaxing as he was able to have his cigarette This was our second trip to this hotel and will definitely be back
 Bathroom could of been to a better standard but everything in the bathroom did work perfectly fine  I loved the Asian theme and the class of the hotel 
 The phone wasn t working in the room The steam room was out of action They the Sheff wasn t there to make sandwiches all day on menu there was no body there to do the massage in spa And when I mentioned my concerns to the staff and management they seemed not bothered about the issues Or to give a solution All round I think the the management and staff need to listen to the guests You can t offer these facilities without providing them  It had a car park
 Nothing it was great  We were offered a free upgrade on our room as the hotel was pretty empty Staff were friendly The views were excellent and we had a great time Barman was really great too 
 Hotel is very tired and overpriced for what it is Needs knocking down and replacing or complete renovation Beds poor with thin mattresses 2 singles pushed together to be a double etc No Positive
 The room I had could do with a bit of a spruce up especially the the en suite bathroom However it was all clean The Pizzeria in the hotel served very poor food The Indian retaurant in the hotel served deceent food  The hotel in general was absolutely fine for a 2 night stay 
 As above AC make noise if you put it on 2 so either 1 or 3 even on 3 and temp 17 5 still warm Short of staff so you have to que to check in Expensive Wifi after 30 min free Location isolated and no way 1 9 miles from O2 arena unless you go swimming so wrong info 
 WiFi is not for free which felt a bit like early 2000 s Old hotel which would require serious refurbishment Room was tidy and since the price was so low for London it was okay with me 
 The fire alarm went off and no one said anything i wasnt sure if i needed to get out or not but by the time i put my clothing back on from swimming the alarm atopped so i stayed in my room also when i went swimming noe one told me i had to sign in this is something reception shld have told me whn i checked in as i did ask her the swimming times Looked stylish waa clean but needs a little refurbisging as couls see carpets getting old bathroom corners looking mankie bath plug dont work properly be nice to have a small fridge to put our drinks in
 Staff Those of you with poker faces you should smile more you should ask a guest whether is in a need of help with luggage not just whether he she wants to pay in advance for breakfast or open an account with you or whether would prefer a more expensive room Also saying good morning and good evening to your guests once in a while is good manners Looking like a gentleman won t make you one after all it s not everything in life about money Wifi Rooms with windows at an extra charge of 20 pounds day Taxi companies you co operate with that instead of 5 mins they turn up in 35 It s not your fault entirely but most definitely not your guests  Location was good Bed was very comfortable Decent facilities
No Negative I have been staying at this hotel for 15 years Unfortunately the price is often far too high I have several August and September visits to London Your price should be less than 100 But it s far higher I like this hotel but you are pricing me out 
No Negative The bed was very comfy the view was ok work was being carried out nearby but we didnt hear it until about 9ish Very good for travelling as the canary wharf tube was a 5 min walk away 
 There was no toilet brush The bathroom was generally threadbare There was no ability to tightly close the window therefore it was very cold in the night Also guests next door were pretty loud  The window view was wonderful I like the hotel interior design 
 Hotel and staff a little sad need a bit of updating sprucing up Lovely to have a pool but the whole area was not very clean and needs more than a lick of paint  Great location is it s redeeming feature
